ENC	GENERO	AMBITO	REGION	EDAD	NIVEL	DISTRITO	PA	PB	P20	PESO2	REGION2
2987964	Femenino	Urbano	Lima	De 26 a 42	C	CALLAO	Lima y Callao	Callao	0	0,844042600000000	Lima
2987971	Femenino	Urbano	Costa Norte	De 43 a más	D	PIURA	Piura	0	0	1,593514800000000	Norte
2987974	Femenino	Urbano	Costa Sur	De 43 a más	D	TACNA	Tacna	0	0	1,281259500000000	Sur
2987982	Masculino	Urbano	Lima	De 18 a 25	B	SAN JUAN DE LURIGANCHO	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,722194300000000	Lima
2987983	Femenino	Urbano	Lima	De 18 a 25	D	BREÑA	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,888577500000000	Lima
2987986	Femenino	Urbano	Costa Sur	De 43 a más	D	TACNA	Tacna	0	0	1,281259500000000	Sur
2988001	Masculino	Urbano	Oriente	De 43 a más	D	TAMBOPATA	Madre de Dios	0	0	1,605392500000000	Oriente
2988002	Femenino	Urbano	Oriente	De 43 a más	C	TAMBOPATA	Madre de Dios	0	0	1,185484800000000	Oriente
2988003	Masculino	Urbano	Oriente	De 18 a 25	B	TAMBOPATA	Madre de Dios	0	0	1,097862000000000	Oriente
2988004	Femenino	Urbano	Oriente	De 43 a más	E	TAMBOPATA	Madre de Dios	0	0	0,876358600000000	Oriente
2988005	Masculino	Urbano	Oriente	De 26 a 42	E	TAMBOPATA	Madre de Dios	0	0	0,876358600000000	Oriente
2988006	Femenino	Urbano	Oriente	De 43 a más	C	TAMBOPATA	Madre de Dios	0	0	1,185484800000000	Oriente
2988007	Femenino	Urbano	Oriente	De 18 a 25	C	TAMBOPATA	Madre de Dios	0	0	1,185484800000000	Oriente
2988008	Femenino	Urbano	Oriente	De 43 a más	E	TAMBOPATA	Madre de Dios	0	0	0,876358600000000	Oriente
2988009	Masculino	Urbano	Oriente	De 26 a 42	D	TAMBOPATA	Madre de Dios	0	0	1,605392500000000	Oriente
2988010	Masculino	Urbano	Oriente	De 26 a 42	E	TAMBOPATA	Madre de Dios	0	0	0,876358600000000	Oriente
2988011	Femenino	Urbano	Lima	De 26 a 42	C	CALLAO	Lima y Callao	Callao	0	0,844042600000000	Lima
2988016	Masculino	Urbano	Costa Norte	De 43 a más	C	PIURA	Piura	0	0	1,157352900000000	Norte
2988018	Masculino	Urbano	Costa Norte	De 18 a 25	C	NUEVO CHIMBOTE	Áncash	0	0	1,157352900000000	Norte
2988019	Femenino	Urbano	Costa Norte	De 26 a 42	C	NUEVO CHIMBOTE	Áncash	0	0	1,157352900000000	Norte
