NOMCCPP	LONGITUDX	LATITUDY
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
CHINGANZA	-78,45102	-5,362803333
VISTA ALEGRE	-78,43636833	-5,353548333
VISTA ALEGRE	-78,43636833	-5,353548333
VISTA ALEGRE	-78,43636833	-5,353548333
VISTA ALEGRE	-78,43636833	-5,353548333
VISTA ALEGRE	-78,43636833	-5,353548333
SANJUAN DE DIOS	-78,52929	-5,356765
SANJUAN DE DIOS	-78,52929	-5,356765
SANJUAN DE DIOS	-78,52929	-5,356765
SANJUAN DE DIOS	-78,52929	-5,356765
SANJUAN DE DIOS	-78,52929	-5,356765
ZAPOTAL	-78,51792667	-5,368316667
ZAPOTAL	-78,51792667	-5,368316667
ZAPOTAL	-78,51792667	-5,368316667
ZAPOTAL	-78,51792667	-5,368316667
ZAPOTAL	-78,51792667	-5,368316667
EL TAYO	-78,47604333	-5,345666667
EL TAYO	-78,47604333	-5,345666667
EL TAYO	-78,47604333	-5,345666667
EL TAYO	-78,47604333	-5,345666667
EL TAYO	-78,47604333	-5,345666667
CAMBIO PITEC	-78,38514833	-5,628255
CAMBIO PITEC	-78,38514833	-5,628255
CAMBIO PITEC	-78,38514833	-5,628255
CAMBIO PITEC	-78,38514833	-5,628255
CAMBIO PITEC	-78,38514833	-5,628255
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
EL PORVENIR	-78,39154041	-5,655303038
NIÑO POBRE	-78,56626167	-5,578423333
NIÑO POBRE	-78,56626167	-5,578423333
NIÑO POBRE	-78,56626167	-5,578423333
NIÑO POBRE	-78,56626167	-5,578423333
NIÑO POBRE	-78,56626167	-5,578423333
EL TRIUNFO	-78,59141	-5,603083333
EL TRIUNFO	-78,59141	-5,603083333
EL TRIUNFO	-78,59141	-5,603083333
EL TRIUNFO	-78,59141	-5,603083333
EL TRIUNFO	-78,59141	-5,603083333
AVIACION	-78,59681	-5,61827
AVIACION	-78,59681	-5,61827
AVIACION	-78,59681	-5,61827
AVIACION	-78,59681	-5,61827
AVIACION	-78,59681	-5,61827
PALMA CENTRAL	-78,51213804	-5,879827811
PALMA CENTRAL	-78,51213804	-5,879827811
PALMA CENTRAL	-78,51213804	-5,879827811
PALMA CENTRAL	-78,51213804	-5,879827811
PALMA CENTRAL	-78,51213804	-5,879827811
EL BALCON	-78,4683946	-5,884896404
EL BALCON	-78,4683946	-5,884896404
EL BALCON	-78,4683946	-5,884896404
EL BALCON	-78,4683946	-5,884896404
EL BALCON	-78,4683946	-5,884896404
NUEVO SAN LORENZO	-78,48841947	-5,887457129
NUEVO SAN LORENZO	-78,48841947	-5,887457129
NUEVO SAN LORENZO	-78,48841947	-5,887457129
NUEVO SAN LORENZO	-78,48841947	-5,887457129
NUEVO SAN LORENZO	-78,48841947	-5,887457129
EL EBRON	-78,27270167	-5,721791667
EL EBRON	-78,27270167	-5,721791667
EL EBRON	-78,27270167	-5,721791667
EL EBRON	-78,27270167	-5,721791667
EL EBRON	-78,27270167	-5,721791667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
LLUNCHICATE	-78,28380667	-5,748036667
SAN ISIDRO	-78,16191	-5,87087
SAN ISIDRO	-78,16191	-5,87087
SAN ISIDRO	-78,16191	-5,87087
SAN ISIDRO	-78,16191	-5,87087
SAN ISIDRO	-78,16191	-5,87087
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
NUEVO BELEN	-78,16653	-5,862943333
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
VISTA ALEGRE DE CUMBA	-78,54732	-5,972751667
SANTA ROSA	-78,577495	-5,97475
SANTA ROSA	-78,577495	-5,97475
SANTA ROSA	-78,577495	-5,97475
SANTA ROSA	-78,577495	-5,97475
SANTA ROSA	-78,577495	-5,97475
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
OCALLI	-78,2688697	-6,23367225
CHONIA	-77,98577833	-6,04408
CHONIA	-77,98577833	-6,04408
CHONIA	-77,98577833	-6,04408
CHONIA	-77,98577833	-6,04408
CHONIA	-77,98577833	-6,04408
CUCHAPAMPA	-77,97936333	-6,062291667
CUCHAPAMPA	-77,97936333	-6,062291667
CUCHAPAMPA	-77,97936333	-6,062291667
CUCHAPAMPA	-77,97936333	-6,062291667
CUCHAPAMPA	-77,97936333	-6,062291667
MARAYPATA	-77,97562333	-6,015485
MARAYPATA	-77,97562333	-6,015485
MARAYPATA	-77,97562333	-6,015485
MARAYPATA	-77,97562333	-6,015485
MARAYPATA	-77,97562333	-6,015485
LIMON	-78,19249	-6,276125
LIMON	-78,19249	-6,276125
LIMON	-78,19249	-6,276125
LIMON	-78,19249	-6,276125
LIMON	-78,19249	-6,276125
SAN JUAN	-78,16890333	-6,275583333
SAN JUAN	-78,16890333	-6,275583333
SAN JUAN	-78,16890333	-6,275583333
SAN JUAN	-78,16890333	-6,275583333
SAN JUAN	-78,16890333	-6,275583333
LA UNION	-78,16373833	-6,281558333
LA UNION	-78,16373833	-6,281558333
LA UNION	-78,16373833	-6,281558333
LA UNION	-78,16373833	-6,281558333
LA UNION	-78,16373833	-6,281558333
PUEBLO NUEVO	-78,10036636	-6,396908192
PUEBLO NUEVO	-78,10036636	-6,396908192
PUEBLO NUEVO	-78,10036636	-6,396908192
PUEBLO NUEVO	-78,10036636	-6,396908192
PUEBLO NUEVO	-78,10036636	-6,396908192
EL REJO	-78,10551968	-6,398557327
EL REJO	-78,10551968	-6,398557327
EL REJO	-78,10551968	-6,398557327
EL REJO	-78,10551968	-6,398557327
EL REJO	-78,10551968	-6,398557327
LA UNION	-78,11134829	-6,40117418
LA UNION	-78,11134829	-6,40117418
LA UNION	-78,11134829	-6,40117418
LA UNION	-78,11134829	-6,40117418
LA UNION	-78,11134829	-6,40117418
SAN ANTONIO	-77,87542167	-6,491433333
SAN ANTONIO	-77,87542167	-6,491433333
SAN ANTONIO	-77,87542167	-6,491433333
SAN ANTONIO	-77,87542167	-6,491433333
SAN ANTONIO	-77,87542167	-6,491433333
CORRAL	-77,87418833	-6,513158333
CORRAL	-77,87418833	-6,513158333
CORRAL	-77,87418833	-6,513158333
CORRAL	-77,87418833	-6,513158333
CORRAL	-77,87418833	-6,513158333
SAN MARTIN DEL MANGO	-77,876625	-6,510325
SAN MARTIN DEL MANGO	-77,876625	-6,510325
SAN MARTIN DEL MANGO	-77,876625	-6,510325
SAN MARTIN DEL MANGO	-77,876625	-6,510325
SAN MARTIN DEL MANGO	-77,876625	-6,510325
SAN MARTIN DEL MANGO	-77,876625	-6,510325
LA MORADA	-77,53313376	-6,95077868
